Done: pop=100, gen=100 | best=31.4895 | time=37.54s
Done: pop=100, gen=200 | best=30.4775 | time=72.07s
Done: pop=100, gen=500 | best=29.0107 | time=173.18s
Done: pop=100, gen=1000 | best=28.7898 | time=341.59s
Done: pop=100, gen=2000 | best=27.7439 | time=680.18s
Done: pop=100, gen=5000 | best=27.0394 | time=1688.11s
Done: pop=200, gen=100 | best=34.9338 | time=72.34s
Done: pop=200, gen=200 | best=31.4429 | time=141.09s
Done: pop=200, gen=500 | best=31.0543 | time=351.95s
Done: pop=200, gen=1000 | best=31.0387 | time=694.41s
Done: pop=100, gen=2000 | best=27.7439 | time=680.18s
Done: pop=100, gen=5000 | best=27.0394 | time=1688.11s
Done: pop=200, gen=100 | best=34.9338 | time=72.34s
Done: pop=200, gen=200 | best=31.4429 | time=141.09s
Done: pop=200, gen=500 | best=31.0543 | time=351.95s
Done: pop=200, gen=1000 | best=31.0387 | time=694.41s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=500, gen=200 | best=29.2483 | time=394.91s
Done: pop=500, gen=500 | best=29.1074 | time=973.11s
Done: pop=500, gen=1000 | best=29.1007 | time=1951.31s
Done: pop=500, gen=2000 | best=29.0947 | time=3877.30s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=500, gen=200 | best=29.2483 | time=394.91s
Done: pop=500, gen=500 | best=29.1074 | time=973.11s
Done: pop=500, gen=1000 | best=29.1007 | time=1951.31s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=500, gen=200 | best=29.2483 | time=394.91s
Done: pop=500, gen=500 | best=29.1074 | time=973.11s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=500, gen=200 | best=29.2483 | time=394.91s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=500, gen=200 | best=29.2483 | time=394.91s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=2000 | best=28.1241 | time=1383.70s
Done: pop=200, gen=5000 | best=25.0459 | time=3455.24s
Done: pop=500, gen=100 | best=32.1223 | time=201.17s
Done: pop=500, gen=200 | best=29.2483 | time=394.91s
Done: pop=500, gen=500 | best=29.1074 | time=973.11s
Done: pop=500, gen=1000 | best=29.1007 | time=1951.31s
Done: pop=500, gen=2000 | best=29.0947 | time=3877.30s
Done: pop=500, gen=5000 | best=28.4799 | time=9596.48s
Done: pop=1000, gen=100 | best=30.0171 | time=475.63s
Done: pop=1000, gen=200 | best=28.7917 | time=949.76s
Done: pop=1000, gen=500 | best=28.6363 | time=2355.97s
Done: pop=1000, gen=1000 | best=28.0491 | time=4685.99s
